reference_k,target_palette_size,raw_palette_size,actual_palette_size,trimmed_to_target,z_used,eps_report,beta_used,initial_reference_cost,palette_reconstruction_cost,cost_over_initial,runtime_seconds
8,2,8,2,True,2754.7747732720563,14.100000000000001,0.982717657035266,1874812162.4258869,14345814888.0,7.6518678380224685,4.02319360000547
8,4,8,4,True,2754.7747732720563,14.100000000000001,0.982717657035266,1874812162.4258869,10051567098.0,5.361372888147853,4.338260599994101
8,8,8,8,False,2754.7747732720563,14.100000000000001,0.982717657035266,1874812162.4258869,9989313370.0,5.32816757337144,4.395251700014342
8,16,22,16,True,315.45582856568745,6.9,0.9602654069315829,1874812162.4258869,2190270595.0,1.168261353801935,5.019729500025278
8,32,35,32,True,86.39597605556068,4.5,0.9481039896357825,1874812162.4258869,1396878300.0,0.7450764017833813,4.928210499987472
8,64,64,64,False,32.00360058990499,3.2,0.9766723812837215,1874812162.4258869,843688189.0,0.45001211636493843,5.4425055000174325
8,128,128,128,False,7.253011576919959,2.0,0.9066264471149948,1874812162.4258869,457101488.0,0.24381188535097828,6.104075000010198
8,256,257,256,True,2.030221250702491,1.3,0.9240879611754623,1874812162.4258869,245284570.0,0.1308315440425869,7.610790300008375
8,512,517,512,True,0.5330647785245911,0.9,0.7312274053835268,1874812162.4258869,138696716.0,0.0739789930851181,8.156664699985413
8,1024,1027,1024,True,0.14783876851199937,0.6000000000000001,0.6844387431111079,1874812162.4258869,84647732.0,0.04514998019346709,9.41969949999475
8,2048,2051,2048,True,0.04236570973504325,0.4,0.6619642146100506,1874812162.4258869,51808030.0,0.02763371768026282,10.80182560000685
