r,g,b
121.0,24.0,7.0
25.0,30.0,10.0
199.0,87.0,23.0
192.0,172.0,122.0
98.0,113.0,82.0
68.0,67.0,47.0
236.0,150.0,1.0
170.0,53.0,20.0
