point_index,coreset_index
0,1
1,2
2,8
3,9
4,0
5,1
6,14
7,9
8,10
9,10
10,3
11,2
12,0
13,3
14,12
15,2
16,0
17,12
18,9
19,9
20,14
21,14
22,9
23,2
24,0
25,14
26,9
27,9
28,2
29,14
30,10
31,10
32,10
33,2
34,12
35,14
36,0
37,0
38,14
39,13
40,9
41,2
42,9
43,9
44,12
45,12
46,12
47,2
48,13
49,3
50,8
51,0
52,8
53,14
54,1
55,0
56,14
57,1
58,2
59,3
60,0
61,8
62,9
63,1
64,0
65,3
66,8
67,1
68,1
69,12
70,12
71,0
72,9
73,12
74,14
75,9
76,8
77,0
78,9
79,1
80,3
81,1
82,8
83,13
84,10
85,0
86,14
87,0
88,0
89,10
90,2
91,3
92,0
93,0
94,1
95,1
96,1
97,13
98,0
99,2
100,1
101,2
102,1
103,3
104,9
105,14
106,2
107,9
108,3
109,12
110,2
111,14
112,12
113,0
114,3
115,8
116,9
117,1
118,14
119,0
120,3
121,14
122,0
123,3
124,3
125,3
126,14
127,10
128,0
129,1
130,12
131,2
132,14
133,13
134,0
135,2
136,0
137,3
138,0
139,2
140,3
141,2
142,9
143,8
144,12
145,8
146,13
147,12
148,9
149,9
150,8
151,2
152,10
153,15
154,8
155,14
156,1
157,8
158,1
159,2
160,2
161,0
162,1
163,1
164,0
165,0
166,9
167,12
168,14
169,9
170,14
171,13
172,2
173,3
174,1
175,0
176,14
177,8
178,2
179,13
180,0
181,10
182,14
183,8
184,13
185,1
186,8
187,1
188,3
189,2
190,3
191,3
192,12
193,8
194,0
195,8
196,2
197,9
198,1
199,8
200,1
201,12
202,1
203,9
204,13
205,2
206,13
207,10
208,9
209,0
210,3
211,12
212,3
213,8
214,8
215,8
216,14
217,14
218,14
219,0
220,15
221,2
222,2
223,8
224,2
225,12
226,10
227,10
228,8
229,3
230,3
231,0
232,0
233,12
234,14
235,14
236,12
237,10
238,2
239,9
240,0
241,10
242,2
243,2
244,14
245,14
246,10
247,0
248,3
249,9
250,2
251,14
252,14
253,8
254,13
255,8
256,0
257,12
258,14
259,1
260,9
261,3
262,1
263,14
264,3
265,2
266,1
267,12
268,3
269,2
270,0
271,13
272,1
273,0
274,12
275,9
276,2
277,3
278,2
279,2
280,13
281,2
282,10
283,8
284,3
285,13
286,0
287,8
288,2
289,12
290,2
291,0
292,3
293,13
294,3
295,9
296,14
297,2
298,3
299,10
300,10
301,12
302,14
303,1
304,8
305,10
306,8
307,14
308,12
309,9
310,14
311,0
312,10
313,2
314,2
315,1
316,14
317,9
318,14
319,9
320,10
321,13
322,3
323,3
324,12
325,3
326,10
327,3
328,0
329,14
330,1
331,3
332,0
333,3
334,10
335,0
336,1
337,2
338,13
339,1
340,10
341,12
342,0
343,14
344,8
345,1
346,13
347,0
348,2
349,3
350,10
351,14
352,1
353,9
354,2
355,0
356,3
357,12
358,14
359,3
360,10
361,3
362,15
363,1
364,3
365,0
366,13
367,14
368,0
369,8
370,1
371,3
372,0
373,8
374,1
375,13
376,13
377,9
378,0
379,9
380,3
381,1
382,0
383,13
384,2
385,10
386,0
387,14
388,8
389,0
390,2
391,10
392,13
393,8
394,1
395,8
396,1
397,3
398,1
399,0
400,9
401,14
402,0
403,9
404,0
405,2
406,2
407,14
408,14
409,10
410,1
411,15
412,13
413,1
414,3
415,14
416,13
417,0
418,9
419,3
420,13
421,1
422,14
423,0
424,0
425,0
426,14
427,2
428,2
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,8
437,1
438,3
439,15
440,1
441,2
442,14
443,0
444,10
445,0
446,10
447,2
448,14
449,3
450,8
451,0
452,12
453,10
454,14
455,14
456,2
457,10
458,9
459,1
460,3
461,13
462,1
463,0
464,1
465,1
466,9
467,2
468,10
469,1
470,12
471,2
472,14
473,1
474,12
475,3
476,14
477,14
478,13
479,10
480,13
481,2
482,0
483,14
484,10
485,1
486,15
487,3
488,13
489,14
490,12
491,0
492,1
493,10
494,8
495,2
496,13
497,14
498,10
499,10
500,1
501,10
502,9
503,8
504,9
505,0
506,2
507,1
508,0
509,12
510,2
511,0
512,14
513,8
514,14
515,0
516,8
517,2
518,0
519,8
520,2
521,14
522,3
523,15
524,1
525,0
526,0
527,12
528,10
529,8
530,2
531,3
532,14
533,0
534,12
535,10
536,13
537,0
538,13
539,0
540,1
541,3
542,12
543,9
544,1
545,0
546,0
547,14
548,0
549,8
550,14
551,1
552,8
553,9
554,0
555,2
556,9
557,0
558,14
559,14
560,12
561,0
562,2
563,0
564,3
565,8
566,0
567,0
568,10
569,14
570,8
571,9
572,0
573,10
574,3
575,2
576,0
577,12
578,14
579,1
580,14
581,14
582,10
583,0
584,8
585,13
586,1
587,14
588,14
589,2
590,8
591,2
592,2
593,10
594,0
595,2
596,1
597,13
598,1
599,10
600,0
601,0
602,14
603,12
604,8
605,8
606,14
607,12
608,0
609,1
610,2
611,2
612,10
613,3
614,14
615,2
616,0
617,0
618,9
619,10
620,2
621,10
622,0
623,14
624,12
625,1
626,13
627,10
628,12
629,8
630,1
631,9
632,2
633,10
634,0
635,9
636,1
637,9
638,2
639,0
640,1
641,8
642,3
643,2
644,0
645,0
646,2
647,0
648,12
649,10
650,2
651,14
652,12
653,8
654,10
655,12
656,0
657,2
658,9
659,15
660,13
661,14
662,12
663,10
664,9
665,1
666,13
667,0
668,9
669,2
670,2
671,2
672,13
673,9
674,1
675,14
676,2
677,2
678,12
679,3
680,14
681,0
682,8
683,3
684,2
685,2
686,3
687,8
688,8
689,2
690,0
691,14
692,1
693,3
694,13
695,15
696,2
697,14
698,14
699,0
700,0
701,0
702,10
703,2
704,0
705,2
706,9
707,9
708,1
709,10
710,2
711,12
712,12
713,1
714,2
715,0
716,1
717,13
718,3
719,2
720,1
721,2
722,0
723,8
724,12
725,12
726,3
727,1
728,0
729,8
730,1
731,10
732,2
733,2
734,0
735,14
736,2
737,0
738,1
739,3
740,0
741,1
742,9
743,10
744,3
745,1
746,10
747,12
748,14
749,14
750,8
751,14
752,12
753,1
754,2
755,14
756,0
757,3
758,3
759,13
760,10
761,14
762,13
763,8
764,1
765,9
766,9
767,1
768,0
769,14
770,9
771,2
772,0
773,10
774,9
775,14
776,9
777,2
778,14
779,3
780,9
781,1
782,10
783,3
784,1
785,2
786,8
787,1
788,2
789,14
790,2
791,14
792,9
793,9
794,2
795,0
796,3
797,10
798,3
799,14
800,12
801,12
802,0
803,1
804,12
805,9
806,2
807,13
808,1
809,13
810,0
811,2
812,12
813,3
814,10
815,0
816,10
817,0
818,1
819,12
820,1
821,2
822,0
823,9
824,14
825,8
826,3
827,3
828,14
829,13
830,9
831,1
832,0
833,10
834,3
835,0
836,13
837,9
838,0
839,9
840,3
841,10
842,12
843,8
844,0
845,14
846,2
847,9
848,2
849,10
850,14
851,14
852,0
853,13
854,14
855,0
856,0
857,10
858,10
859,0
860,9
861,12
862,9
863,1
864,10
865,8
866,0
867,1
868,14
869,1
870,3
871,9
872,14
873,13
874,13
875,0
876,14
877,14
878,9
879,12
880,12
881,1
882,12
883,13
884,1
885,9
886,8
887,12
888,10
889,0
890,1
891,3
892,13
893,1
894,9
895,1
896,2
897,13
898,2
899,13
900,2
901,0
902,0
903,14
904,14
905,14
906,1
907,3
908,8
909,0
910,2
911,14
912,10
913,1
914,0
915,9
916,0
917,14
918,1
919,9
920,1
921,0
922,0
923,8
924,9
925,3
926,0
927,0
928,0
929,0
930,10
931,0
932,0
933,1
934,9
935,3
936,3
937,1
938,3
939,9
940,1
941,8
942,10
943,0
944,3
945,0
946,1
947,9
948,2
949,13
950,2
951,8
952,12
953,14
954,3
955,9
956,13
957,0
958,1
959,0
960,0
961,3
