x0,x1,weight,source_index
-73.8994,40.7793,8.0,331081
-73.852,40.789,10.0,736829
-74.0246,40.7494,9.0,664590
-73.978,40.8285,42.0,149955
-73.996,40.7937,31.0,548394
-73.8722,40.7542,93.0,634944
-73.8604,40.7599,113.0,466835
-74.0234,40.7519,169.0,414949
-74.0218,40.7707,94.0,702813
-74.0012,40.7626,121.0,358686
-73.9352,40.7756,73.0,418709
-73.9743,40.8238,4.0,44572
-73.9697,40.7688,194.0,99907
-74.0041,40.706,440.0,654517
-73.9366,40.7359,223.0,318755
-73.8721,40.7626,30.0,190159
-73.9328,40.8463,233.0,164803
-73.897,40.7517,203.0,139187
-73.9775,40.7135,378.0,605860
-73.9953,40.7695,297.0,426020
-74.0137,40.6944,1.0,535344
-73.9127,40.7131,61.0,659933
-73.9017,40.7235,102.0,741850
-74.0102,40.7619,2.0,709739
-73.9275,40.6595,122.0,495200
-73.966,40.794,901.0,389190
-73.9665,40.75,12.0,218122
-73.9188,40.7375,100.0,421118
-73.9,40.7321,138.0,705158
-74.0212,40.7139,1.0,460661
-74.0125,40.7199,19.0,99293
-74.0435,40.7118,115.0,173565
-74.0349,40.7124,5.0,15785
-74.0143,40.6503,29.0,207893
-74.016,40.6747,273.0,290257
-73.9435,40.7768,62.0,431374
-73.9417,40.7871,204.0,355059
-73.9697,40.757,3342.0,331668
-73.9845,40.6861,832.0,283756
-73.9729,40.7805,510.0,440854
-73.9683,40.7868,196.0,31466
-73.9462,40.721,845.0,722534
-73.9425,40.7189,789.0,611439
-73.9736,40.6873,798.0,595282
-73.8726,40.7482,146.0,236881
-73.8615,40.738,136.0,419852
-73.9806,40.7507,3738.0,141276
-73.9762,40.7511,3082.0,470432
-73.9222,40.7955,187.0,240192
-73.9112,40.7984,1.0,440556
-73.9799,40.6898,745.0,641726
-73.9786,40.6997,147.0,129154
-73.9888,40.6754,593.0,180233
-73.9789,40.7586,2635.0,111040
-73.9777,40.7605,3636.0,28253
-73.9568,40.7334,656.0,639139
-73.9521,40.7328,951.0,3442
-73.9993,40.7212,3597.0,329411
-73.9957,40.72,2582.0,707393
-73.9957,40.7245,3566.0,92155
-73.9852,40.6686,796.0,241762
-73.9796,40.6635,863.0,503323
-73.9871,40.7506,3566.0,594362
-73.9835,40.7526,2915.0,681751
-73.9845,40.7544,3850.0,94657
-73.9919,40.7386,3503.0,256495
-73.9913,40.7407,3848.0,523329
-73.9893,40.7437,2881.0,444349
-73.9662,40.6897,918.0,678066
-73.9703,40.6952,522.0,261893
-73.9675,40.696,685.0,243299
-74.0002,40.7396,2663.0,508532
-74.0012,40.7411,1682.0,104703
-73.9916,40.7456,3498.0,306055
-73.988,40.7456,3721.0,8556
-73.9887,40.7485,2523.0,91051
-73.8971,40.7336,124.0,639283
-73.8824,40.7375,131.0,312834
