dataset,n,d,reference_k,target_palette_size,raw_palette_size,actual_palette_size,trimmed_to_target,trimmed_weight_rescaled,weights_sum,z_used,beta_used,eps_min,eps_report,rank_interval_low,rank_interval_high,reference_cost,palette_reconstruction_cost,cost_over_initial,runtime_seconds,verification_matched_size,verification_ranked_size,verification_formula_size,height,width
cvete,1731964,3,8,2,8,2,True,True,1731964.0,2754.7747732720563,0.982717657035266,14.018300511864295,14.100000000000001,8.361396675049408,60.070529388008495,1874812162.4258869,14345814888.0,7.6518678380224685,3.338002200005576,True,8,8,1753,988
cvete,1731964,3,8,4,8,4,True,True,1731964.0000000002,2754.7747732720563,0.982717657035266,14.018300511864295,14.100000000000001,8.361396675049408,60.070529388008495,1874812162.4258869,10051567098.0,5.361372888147853,3.358095300005516,True,8,8,1753,988
