r,g,b,weight,source_index
120.0,120.0,128.0,215.0,157722
255.0,127.0,128.0,320.0,689687
118.0,134.0,167.0,279.0,195265
56.0,77.0,38.0,32614.0,1721892
48.0,62.0,71.0,337.0,93623
99.0,45.0,79.0,1549.0,209010
56.0,70.0,81.0,948.0,93624
74.0,99.0,69.0,92134.0,1709169
197.0,10.0,1.0,37492.0,1579396
185.0,121.0,23.0,119474.0,1241355
205.0,73.0,25.0,92475.0,476368
185.0,60.0,64.0,166.0,761798
196.0,55.0,64.0,123.0,765744
142.0,102.0,67.0,22720.0,366196
214.0,120.0,108.0,25098.0,490639
179.0,129.0,56.0,7077.0,504500
237.0,139.0,40.0,57822.0,438530
230.0,201.0,63.0,4233.0,1229404
186.0,135.0,82.0,29523.0,799584
222.0,166.0,92.0,61739.0,633349
183.0,194.0,116.0,28.0,653858
245.0,198.0,126.0,14658.0,370041
24.0,25.0,20.0,331840.0,89617
36.0,22.0,19.0,57248.0,207433
28.0,43.0,24.0,22715.0,1360301
45.0,51.0,23.0,72287.0,1165039
26.0,25.0,33.0,713.0,194625
49.0,5.0,38.0,2300.0,215933
29.0,35.0,35.0,301.0,91672
43.0,44.0,36.0,30983.0,972972
130.0,1.0,5.0,64573.0,1215841
166.0,0.0,2.0,40090.0,1240501
153.0,55.0,18.0,43120.0,1223622
161.0,51.0,0.0,35407.0,819034
131.0,30.0,36.0,1046.0,692421
164.0,31.0,34.0,1214.0,811214
137.0,43.0,44.0,6661.0,1438096
190.0,57.0,48.0,10702.0,1405507
79.0,0.0,4.0,35095.0,1531547
116.0,20.0,6.0,72811.0,1099614
92.0,46.0,20.0,33002.0,1213419
111.0,47.0,11.0,44344.0,429790
91.0,11.0,62.0,860.0,234502
103.0,31.0,34.0,105.0,1444022
81.0,47.0,45.0,6747.0,126390
120.0,36.0,36.0,4626.0,1534516
114.0,155.0,53.0,2553.0,1608848
103.0,136.0,81.0,44575.0,1340498
153.0,165.0,153.0,6137.0,1013950
213.0,165.0,143.0,15442.0,933028
163.0,193.0,159.0,187.0,1378982
243.0,215.0,142.0,21273.0,824720
170.0,179.0,196.0,170.0,108441
255.0,191.0,193.0,25.0,780066
175.0,192.0,208.0,68.0,97552
235.0,207.0,193.0,970.0,584283
78.0,68.0,9.0,8991.0,1141717
97.0,68.0,0.0,19284.0,1632864
71.0,98.0,21.0,848.0,1073080
125.0,96.0,0.0,1094.0,1605206
72.0,90.0,48.0,51477.0,906114
127.0,72.0,33.0,12811.0,1514975
91.0,114.0,60.0,19339.0,1706396
110.0,96.0,59.0,6906.0,1019623
