x0,x1,x2,weight,source_index
126.0,140.0,91.0,12231.10498041613,300196
60.0,97.0,128.0,10980.094242904841,448048
146.0,122.0,133.0,812.0069695117242,1019301
127.0,132.0,150.0,12337.105890229237,840858
76.0,40.0,22.0,35772.307036174134,867114
44.0,53.0,65.0,8938.07671612782,458238
88.0,63.0,71.0,787.0067549331612,947897
62.0,66.0,69.0,12647.108551003417,425359
197.0,176.0,173.0,5588.047962600387,949441
187.0,192.0,186.0,630.005407379786,499371
198.0,198.0,181.0,1807.0155097385289,468672
183.0,190.0,195.0,21846.187507331437,1020733
191.0,189.0,199.0,1104.0094757893391,843817
189.0,199.0,207.0,28586.245357712003,791669
202.0,207.0,212.0,70122.6018671196,629918
140.0,137.0,62.0,18.00015449656531,917462
203.0,136.0,62.0,39.00033474255818,821912
191.0,144.0,125.0,355.00304701559367,955522
131.0,63.0,13.0,81.00069523454391,802586
136.0,81.0,49.0,3332.028599030868,897870
192.0,127.0,59.0,7.0000600819976215,820889
167.0,119.0,102.0,52290.448812522234,924762
30.0,17.0,13.0,43782.3757871457,909068
33.0,27.0,28.0,17288.14838536784,454070
26.0,50.0,30.0,138.0011844736674,10202
43.0,35.0,29.0,11864.101830402826,488697
30.0,28.0,32.0,4029.0345814812026,574980
34.0,31.0,32.0,798.0068493477289,534946
27.0,49.0,37.0,14619.125476960462,95940
38.0,39.0,41.0,77097.66173453866,517579
50.0,72.0,31.0,10543.09049207156,626648
31.0,64.0,44.0,17.000145913422795,747
46.0,82.0,43.0,148288.27276845448,140220
63.0,96.0,35.0,126.00108147595719,407536
64.0,92.0,30.0,1443.0123854746525,460773
127.0,67.0,30.0,44.000377658270764,866125
68.0,96.0,30.0,343.00294401788346,486378
69.0,91.0,39.0,70532.60538620803,754532
101.0,65.0,54.0,12024.103203705628,950853
85.0,102.0,58.0,67687.58096716758,582891
97.0,110.0,57.0,5555.047679356684,231506
65.0,80.0,95.0,14255.122352696586,319872
124.0,92.0,75.0,15743.13512441265,904589
89.0,102.0,65.0,6154.0528206590525,533567
110.0,118.0,79.0,39154.33606436213,517220
94.0,92.0,99.0,6643.057017815743,423540
109.0,88.0,102.0,1348.0115700761135,987795
76.0,105.0,120.0,7865.0675064158995,481892
101.0,105.0,114.0,10862.093230094024,356913
139.0,137.0,139.0,12366.106139140371,344574
182.0,148.0,137.0,9750.083685639545,1026174
144.0,162.0,151.0,1572.0134927000374,598183
177.0,160.0,152.0,4888.041954400625,842761
143.0,157.0,171.0,8784.075394323872,869758
165.0,158.0,165.0,1618.0138875245932,1045192
147.0,170.0,182.0,13923.11950309327,518786
174.0,175.0,185.0,39746.3411455825,981446
133.0,135.0,93.0,17704.151955955127,451793
166.0,154.0,93.0,472.00405124326824,708305
172.0,162.0,93.0,8.00006866514014,783125
155.0,133.0,96.0,34222.29373230323,104556
162.0,141.0,107.0,34240.293886799795,108662
155.0,160.0,127.0,387.00332167615426,241924
164.0,164.0,127.0,338.0029011021709,174343
