Dataset,Clusters,Budget,Iteration,Cost,Time
birb,2,64,0,2983104616.4993644,0.7144130000087898
balloons,2,64,0,2549374230.465288,0.35822189997998066
donuts,2,64,0,1019138.5247524838,0.5454463000060059
spotify,2,64,0,965060.5562951646,3.4207568999845535
uber,2,64,0,940234.2405766484,0.4965778999903705
