x,y,weight,source_index
-1.261206720080692,-1.1837691664287158,32260.06452012904,427290
-0.4196085682664206,0.10236598388632821,82455.16491032981,329734
1.0631772937035266,1.6107305666857479,14433.028866057732,789922
1.7805841217561615,1.5626086379979274,25969.051938103876,850114
0.3211574294684003,-1.2187903647503873,52686.10537221074,579145
1.2547670502283736,-0.5815196023249604,24.000048000096,432967
-1.3139106420042315,0.202422278247162,5623.011246022492,396164
-0.441498001965467,1.688451504398816,61620.12324024648,923758
0.4545313807009144,-0.4367985246871052,57722.11544423088,193326
0.8714672575692552,-0.7453525832553413,15212.030424060848,109908
0.6119722998855021,-0.2506333723702038,61438.12287624575,456313
0.7156351265433107,0.1492411534665989,8075.0161500323,181675
-0.6572022169002062,-1.8497782962361673,7495.014990029979,251972
-0.12466661169994535,-1.8677980037413637,9798.019596039192,37000
-0.7205891098210244,-1.4670083617411225,59566.119132238266,300968
-0.21445725057403647,-1.5862382257432541,55452.11090422181,459955
1.5241296057978677,0.4913021588087514,42055.084110168216,691109
1.8567387030005875,0.7273698825250497,3885.00777001554,774358
1.33459232933893,0.9047069019781612,53052.10610421221,659831
1.9792379767790604,1.0011223698539082,19264.038528077057,716920
-1.7951873021728892,-0.44802846161618354,3536.007072014144,139485
-1.4474298711538571,-0.6125857255829988,61366.122732245465,83288
-1.7514192010126386,-0.3142871094930134,1590.00318000636,602028
-1.3525926071349659,-0.4176288242732258,50821.101642203284,31769
-0.8278976722449902,0.41839374158170817,33415.066830133655,480348
-0.5177979278170712,0.4766040640200144,38573.07714615429,537591
-0.72970094973791,1.296686258658119,14197.028394056788,904674
-0.14644590193959456,1.3615766996876322,24145.04829009658,902966
0.2907254867851132,0.24423848293346978,12791.025582051163,33032
1.0337960564661473,0.7470964856512537,29134.058268116536,676192
0.6494116854521244,1.0194145416120959,1966.003932007864,769403
0.8029115880673939,0.9700985912719302,60380.120760241516,752803
