r,g,b
87.0,47.0,0.0
24.0,25.0,9.0
106.0,121.0,90.0
247.0,201.0,63.0
128.0,163.0,105.0
215.0,111.0,0.0
11.0,13.0,0.0
202.0,125.0,97.0
156.0,79.0,33.0
59.0,15.0,6.0
72.0,104.0,65.0
132.0,26.0,13.0
121.0,62.0,4.0
194.0,85.0,46.0
216.0,141.0,24.0
177.0,54.0,38.0
244.0,142.0,80.0
218.0,180.0,115.0
206.0,28.0,16.0
95.0,71.0,43.0
37.0,33.0,22.0
55.0,79.0,31.0
100.0,5.0,1.0
192.0,57.0,2.0
247.0,218.0,152.0
150.0,40.0,0.0
177.0,121.0,44.0
215.0,109.0,69.0
165.0,0.0,1.0
224.0,199.0,142.0
113.0,91.0,50.0
174.0,82.0,0.0
