reference_k,target_palette_size,raw_palette_size,actual_palette_size,trimmed_to_target,z_used,eps_report,beta_used,initial_reference_cost,palette_reconstruction_cost,cost_over_initial,runtime_seconds
3,2,4,2,True,498.05497562522476,22.400000000000002,0.9926159431306295,617914.5701664289,1478187.5085263285,2.392219863221859,0.6581788000185043
3,4,4,4,False,498.05497562522476,22.400000000000002,0.9926159431306295,617914.5701664289,604892.6876557776,0.978926079527233,0.6331675999972504
3,8,10,8,True,93.45617310811329,9.700000000000001,0.9932636104592759,617914.5701664289,209047.7523180071,0.33831173824190974,0.7169572999991942
3,16,18,16,True,14.159864407737604,3.8000000000000003,0.9806000282366761,617914.5701664289,114422.81255089877,0.18517578007600657,0.8035532000067178
3,32,33,32,True,9.563673310270065,3.1,0.995179324689913,617914.5701664289,58000.57882395541,0.09386504482057051,0.9955245000019204
3,64,65,64,True,1.3985692057884116,1.2000000000000002,0.9712286151308411,617914.5701664289,35098.43767569255,0.05680144047459367,1.196507400018163
3,128,130,128,True,0.22935829782882525,0.5,0.917433191315301,617914.5701664289,17563.952213288896,0.028424563946692866,1.3699609000177588
3,256,256,256,False,0.08075096799304757,0.30000000000000004,0.8972329777005282,617914.5701664289,8263.95402499514,0.013373942651602033,1.730284200020833
3,512,514,512,True,0.00830853956034013,0.1,0.8308539560340129,617914.5701664289,4202.192403976777,0.0068006041722643955,1.8844442999979947
3,1024,1026,1024,True,0.004184374725862171,0.1,0.418437472586217,617914.5701664289,1911.7650423230725,0.003093898630369176,2.3469555000192486
3,2048,2049,2048,True,0.0005215506874583958,0.1,0.052155068745839576,617914.5701664289,1022.7281932230028,0.0016551287873783937,4.228838200011523
