dataset,n,d,reference_k,target_palette_size,raw_palette_size,actual_palette_size,trimmed_to_target,trimmed_weight_rescaled,weights_sum,z_used,beta_used,eps_min,eps_report,rank_interval_low,rank_interval_high,reference_cost,palette_reconstruction_cost,cost_over_initial,runtime_seconds,verification_matched_size,verification_ranked_size,verification_formula_size
donuts,1000000,2,3,2,4,2,True,True,1000000.0000000001,498.05497562522476,0.9926159431306295,22.317145328765164,22.400000000000002,3.381911522455214,37.129283688600054,617914.5701664289,1478187.5085263285,2.392219863221859,0.53338390000863,True,4,4
donuts,1000000,2,3,4,4,4,False,False,1000000.0,498.05497562522476,0.9926159431306295,22.317145328765164,22.400000000000002,3.381911522455214,37.129283688600054,617914.5701664289,604892.6876557776,0.978926079527233,0.5653241999971215,True,4,4
