eps,n_runs,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc,avg_n_coreset,avg_p_over_q
0.05,5,1.0086707510892081,0.9667833025112607,1.0472072595750408,16568.4,4462.8152396359965
0.1,5,1.0230773055261029,0.9403804919334734,1.0517354235346277,9146.0,7723.007651399322
0.2,5,1.0297201806443792,0.8420741299564158,1.0551147872360018,1553.0,13910.343755006097
0.35,5,1.040779455672572,0.6151468503397585,1.1605513082048904,272.6,22939.44897510291
0.5,5,0.9527359412566854,0.39031557948865514,1.1276283777521305,68.8,32240.791178106552
0.75,5,0.8933091249800279,0.21706964196910947,1.1990641846601322,25.6,45571.788287642186
1.0,5,0.773757606755354,0.13701877250985114,1.2549201654039188,22.8,59028.120927318305
1.5,5,0.7049471190640058,0.0020487030384905803,2.6907669615855956,7.2,111180.04571428572
2.0,5,0.9076172637494265,0.0,3.2538802133309543,5.8,144749.03142857144
3.0,5,1.0284132399230625,0.0,4.770932470118846,4.6,172525.2
