x0,x1,weight,source_index
-74.0014,40.6876,3783.086643781172,575115
-74.0024,40.8268,31.000710007194378,404700
-73.9505,40.8129,6138.140581424486,319195
-73.98,40.7779,17844.408689302465,55628
-73.9612,40.7201,20253.463863732508,240528
-73.9583,40.7339,13067.29927948416,217343
-73.8906,40.8251,656.0150246683713,611769
-74.0434,40.7124,1401.0320877444942,104478
-74.0306,40.7387,2450.0561134718137,421747
-73.877,40.6704,718.01644468276,687041
-73.8708,40.7364,2691.0616332051636,281141
-73.9777,40.6677,7035.161125826208,256226
-73.9574,40.6722,4572.1047146094415,541020
-73.9845,40.6913,17915.410315447978,526044
-73.9672,40.6802,12565.287781948302,244797
-73.9944,40.7283,38226.87550758104,16490
-73.9866,40.7348,21387.489836253746,253277
-73.9999,40.7379,41981.96151006539,79702
-73.9826,40.7425,34100.781007913814,658466
-73.9942,40.7612,30898.707671041673,156590
-73.9794,40.7506,58220.3334164145,542712
-73.9942,40.7663,10619.243211819261,342014
-73.9806,40.765,27687.63412803841,277833
-73.9645,40.759,41012.939316614706,570359
-73.9621,40.758,2630.0602360942326,686345
-73.9693,40.7694,20279.46445922241,492029
-73.9582,40.7748,18182.41643067123,295975
-73.8752,40.7704,3062.0701303880383,708339
-73.8627,40.7686,15358.351751306169,520693
-73.8504,40.7841,10.000229034578831,432077
-73.9404,40.7131,10121.231805897236,423518
-73.9016,40.704,1961.0449136809088,716386
-73.9445,40.7261,3930.0900105894807,322110
-73.9096,40.742,1478.0338513107513,527423
-73.9253,40.7553,5525.1265416048045,104963
-73.9068,40.7722,3979.091132858917,573343
-73.9432,40.7771,6880.157575790236,39881
-73.9239,40.7922,967.022147643773,312821
-74.0015,40.7372,33744.77285428281,316451
-74.0072,40.74,32512.744637222695,46889
-74.0134,40.7083,6347.145368247185,707033
-74.006,40.7064,18244.41785068562,404837
-74.0147,40.7154,5884.134763946185,67936
-74.0093,40.724,34174.7827027697,41765
-73.9906,40.7029,3042.0696723188803,45876
-73.9847,40.7037,2067.0473414474445,317105
-73.9928,40.7237,32108.73538422571,706684
-73.9868,40.7137,10779.246876372523,561865
-73.9416,40.673,1826.0418217140946,410591
-73.9127,40.6547,405.0092759004427,194141
-73.9335,40.6903,5385.123335120701,398730
-73.9239,40.6942,2420.0554263680774,293809
-74.0378,40.7683,818.0187350285485,578299
-74.0023,40.7504,8076.184968325864,267262
-74.0425,40.7765,110.00251938036715,55413
-74.011,40.7769,211.00483262961333,238339
-73.9485,40.8039,4525.103638146921,395848
-73.9181,40.8153,321.0073520099805,508919
-73.9415,40.845,3146.0720542785,42119
-73.9023,40.8478,539.012344963799,589710
-73.9738,40.7795,4659.106707210278,223077
-73.952,40.7814,13634.312265744778,190478
-73.9715,40.7995,6106.139848513834,738557
-73.9611,40.7964,1554.0355919735505,627229
