point_index,coreset_index
0,482
1,913
2,175
3,151
4,626
5,825
6,839
7,151
8,322
9,217
10,791
11,433
12,554
13,886
14,467
15,859
16,992
17,668
18,373
19,516
20,958
21,634
22,524
23,417
24,349
25,407
26,558
27,842
28,861
29,408
30,816
31,447
32,184
33,415
34,65
35,79
36,214
37,688
38,332
39,549
40,523
41,429
42,350
43,522
44,52
45,71
46,980
47,78
48,549
49,801
50,820
51,788
52,382
53,841
54,823
55,482
56,607
57,968
58,368
59,489
60,356
61,382
62,675
63,600
64,358
65,400
66,175
67,387
68,145
69,97
70,71
71,434
72,153
73,71
74,828
75,353
76,476
77,655
78,370
79,235
80,661
81,137
82,384
83,513
84,453
85,177
86,606
87,786
88,605
89,847
90,682
91,410
92,604
93,604
94,388
95,459
96,61
97,978
98,687
99,367
100,971
101,44
102,166
103,753
104,149
105,330
106,43
107,417
108,750
109,364
110,429
111,1006
112,52
113,714
114,791
115,67
116,147
117,595
118,607
119,566
120,791
121,606
122,688
123,793
124,323
125,399
126,131
127,447
128,714
129,61
130,307
131,855
132,634
133,479
134,85
135,564
136,997
137,411
138,996
139,854
140,390
141,856
142,274
143,382
144,365
145,384
146,480
147,509
148,525
149,842
150,477
151,178
152,849
153,209
154,362
155,828
156,823
157,62
158,622
159,147
160,909
161,347
162,624
163,136
164,934
165,356
166,684
167,936
168,635
169,450
170,548
171,937
172,691
173,777
174,138
175,895
176,318
177,382
178,565
179,967
180,796
181,275
182,769
183,385
184,480
185,534
186,384
187,166
188,521
189,682
190,486
191,660
192,307
193,880
194,909
195,172
196,60
197,844
198,387
199,382
200,61
201,96
202,136
203,515
204,545
205,656
206,469
207,793
208,836
209,996
210,751
211,306
212,886
213,476
214,649
215,649
216,332
217,634
218,393
219,355
220,238
221,415
222,691
223,383
224,427
225,874
226,446
227,917
228,726
229,398
230,800
231,126
232,130
233,980
234,393
235,645
236,936
237,322
238,656
239,55
240,994
241,620
242,431
243,426
244,131
245,643
246,793
247,125
248,888
249,844
250,43
251,592
252,591
253,112
254,1018
255,880
256,585
257,306
258,974
259,404
260,523
261,660
262,484
263,974
264,619
265,757
266,389
267,876
268,908
269,692
270,358
271,124
272,387
273,627
274,439
275,524
276,427
277,767
278,754
279,693
280,513
281,248
282,446
283,819
284,791
285,441
286,604
287,821
288,756
289,981
290,414
291,789
292,57
293,967
294,752
295,837
296,841
297,657
298,257
299,449
300,918
301,96
302,1004
303,596
304,726
305,792
306,384
307,592
308,938
309,373
310,829
311,628
312,848
313,432
314,430
315,484
316,634
317,837
318,548
319,351
320,325
321,99
322,191
323,658
324,364
325,769
326,181
327,489
328,435
329,333
330,386
331,457
332,946
333,455
334,920
335,935
336,864
337,224
338,468
339,28
340,814
341,467
342,221
343,208
344,819
345,458
346,1018
347,347
348,223
349,411
350,621
351,767
352,137
353,916
354,565
355,359
356,398
357,509
358,637
359,798
360,446
361,769
362,134
363,166
364,660
365,871
366,206
367,635
368,397
369,879
370,595
371,753
372,871
373,382
374,387
375,547
376,123
377,373
378,566
379,522
380,457
381,484
382,988
383,122
384,657
385,561
386,933
387,642
388,66
389,395
390,431
391,410
392,937
393,818
394,458
395,879
396,164
397,40
398,386
399,434
400,1020
401,975
402,142
403,836
404,687
405,858
406,43
407,636
408,392
409,561
410,596
411,208
412,699
413,598
414,520
415,591
416,699
417,337
418,844
419,456
420,544
421,137
422,829
423,797
424,999
425,604
426,769
427,657
428,570
429,968
430,626
431,85
432,995
433,602
434,602
435,873
436,363
437,713
438,87
439,134
440,137
441,693
442,548
443,221
444,412
445,434
446,449
447,856
448,321
449,36
450,383
451,436
452,700
453,180
454,79
455,579
456,656
457,448
458,835
459,137
460,218
461,123
462,646
463,797
464,864
465,137
466,558
467,860
468,620
469,601
470,237
471,179
472,635
473,166
474,468
475,906
476,189
477,644
478,478
479,917
480,481
481,369
482,627
483,643
484,184
485,403
486,239
487,801
488,1016
489,828
490,237
491,688
492,166
493,817
