dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Uber Pickups NYC,0.05,8,640.0,796121,15759,0.019794729695611597,50.51849736658417,1864795.966775856,1864211.6421711762,1600659.2607281427,1600071.3825952641,0.9996866549396876,0.9996327274971619,0.8583562433887106
Uber Pickups NYC,0.1,8,640.0,796121,3189,0.004005672504556468,249.64597052367515,1864795.966775856,1856352.1049652745,1957613.1247223157,1964050.0263393635,0.9954719647827314,1.0032881377508955,1.0497733583727855
Uber Pickups NYC,0.2,8,640.0,796121,545,0.0006845693054196535,1460.77247706422,1864795.966775856,1811283.352215124,1760629.2668711501,1650298.6636263826,0.9713037696808983,0.9373345625221611,0.9441404305025364
Uber Pickups NYC,0.35,8,640.0,796121,105,0.00013188949920929106,7582.104761904762,1864795.966775856,1748860.0447019576,1750400.2279639686,1266499.832061488,0.937829165152933,0.723548712933302,0.9386550910394384
Uber Pickups NYC,0.5,8,640.0,796121,64,8.038978999423454e-05,12439.390625,1864795.966775856,1633390.1172691472,1886992.7175667603,1271670.0877264491,0.875908220722507,0.6739136170945283,1.0119030452587698
Uber Pickups NYC,0.75,8,640.0,796121,24,3.0146171247837954e-05,33171.708333333336,1864795.966775856,1557018.7736201682,1899172.9797339563,285325.9497234861,0.8349539581599268,0.15023694669637502,1.0184347315044533
Uber Pickups NYC,1.0,8,640.0,796121,24,3.0146171247837954e-05,33171.708333333336,1864795.966775856,1557018.7736201682,1899172.9797339563,285325.9497234861,0.8349539581599268,0.15023694669637502,1.0184347315044533
Uber Pickups NYC,1.5,8,640.0,796121,9,1.1304814217939233e-05,88457.88888888889,1864795.966775856,759030.3031595278,3515930.9471135824,21.625301582619997,0.40703128743454725,6.150661633549252e-06,1.8854239336394858
Uber Pickups NYC,2.0,8,640.0,796121,6,7.536542811959489e-06,132686.83333333334,1864795.966775856,679404.339654704,3548519.3899085615,0.0,0.36433172945422115,0.0,1.902899541360433
Uber Pickups NYC,3.0,8,640.0,796121,3,3.7682714059797443e-06,265373.6666666667,1864795.966775856,1328705.5402327143,4537956.742513301,0.0,0.7125205995216641,0.0,2.433486999845465
