dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Citibike Start Locations Raw 2D k=8,0.05,8,640.0,999316,135,0.00013509240320379139,7402.34074074074,424.79892461792565,445.77068162954225,500.88115187763054,507.27860938361766,1.0493686678479215,1.0127724061526477,1.179101741672569
Citibike Start Locations Raw 2D k=8,0.1,8,640.0,999316,65,6.504449043145511e-05,15374.092307692308,424.79892461792565,433.4943690344975,463.5746535094773,430.167329726743,1.0204695537409676,0.9279353961010913,1.0912801955099756
Citibike Start Locations Raw 2D k=8,0.2,8,640.0,999316,42,4.202874766340177e-05,23793.238095238095,424.79892461792565,519.3653961041362,512.6222883051397,477.3027126029217,1.2226146678013976,0.9311001950012873,1.2067410216873888
Citibike Start Locations Raw 2D k=8,0.35,8,640.0,999316,22,2.2015058299877114e-05,45423.454545454544,424.79892461792565,474.87872785115786,411.490643964185,182.72874711838276,1.1178906073697696,0.4440653749937677,0.9686715764035645
Citibike Start Locations Raw 2D k=8,0.5,8,640.0,999316,19,1.9013004895348418e-05,52595.57894736842,424.79892461792565,356.5260723182748,362.7684908447532,124.56774167314781,0.839281955901708,0.3433808194947575,0.8539769519685952
Citibike Start Locations Raw 2D k=8,0.75,8,640.0,999316,13,1.3008898086291024e-05,76870.46153846153,424.79892461792565,389.697593053009,502.18241609011335,75.74668494557466,0.9173695376077337,0.15083500042737938,1.182164989098756
Citibike Start Locations Raw 2D k=8,1.0,8,640.0,999316,8,8.005475745409861e-06,124914.5,424.79892461792565,318.02281666171075,558.1610772932356,0.0,0.7486431773520804,0.0,1.313941832115651
Citibike Start Locations Raw 2D k=8,1.5,8,640.0,999316,7,7.004791277233628e-06,142759.42857142858,424.79892461792565,290.4196812154597,614.4025502054382,0.0,0.6836638804504276,0.0,1.4463373483302637
Citibike Start Locations Raw 2D k=8,2.0,8,640.0,999316,7,7.004791277233628e-06,142759.42857142858,424.79892461792565,290.4196812154597,614.4025502054382,0.0,0.6836638804504276,0.0,1.4463373483302637
Citibike Start Locations Raw 2D k=8,3.0,8,640.0,999316,4,4.0027378727049304e-06,249829.0,424.79892461792565,319.51796832917546,1158.2661964882418,0.0,0.7521628464962749,0.0,2.726622242582215
