Dataset,Clusters,Budget,Iteration,Cost,Time
birb,64,1024,1,1441.795469835571,5.403389200015226
birb,64,1024,2,1459.9207667995836,5.568478200002573
birb,64,1024,3,1497.3747496498631,5.340804800012847
birb,64,1024,4,1503.1376178948176,5.510666499991203
birb,64,4096,0,1339.221556964582,7.764252199995099
birb,64,4096,1,1305.479756960705,7.62603830001899
birb,64,4096,2,1342.0211472884753,7.749444499990204
birb,64,4096,3,1335.327651879334,7.562413599982392
birb,64,4096,4,1343.7798924844917,7.582037500018487
balloons,2,64,0,39206.06275225356,0.3959386000060476
balloons,2,64,1,39105.06979831682,0.3925658999942243
balloons,2,64,2,38808.369008188914,0.3884798999933991
balloons,2,64,3,38699.038323222194,0.3810536000237334
balloons,2,64,4,39235.60290286383,0.4201679000107106
balloons,2,128,0,38580.91237214625,0.4462380999757442
balloons,2,128,1,38520.93916577846,0.4276179000153206
balloons,2,128,2,38602.88933200478,0.5010235999943689
balloons,2,128,3,38587.05586266053,0.4663633999880403
balloons,2,128,4,38575.5189224086,0.4408851999905891
balloons,2,256,0,38508.2011622044,0.5076838000095449
balloons,2,256,1,38586.98663743732,0.5053436000016518
balloons,2,256,2,38536.207717229336,0.5324146999919321
balloons,2,256,3,38511.129698924015,0.4945215000188909
balloons,2,256,4,38494.427535828414,0.5062078000046313
balloons,2,512,0,38482.43668999032,0.5724733000097331
balloons,2,512,1,38480.301352832576,0.5505006999883335
balloons,2,512,2,38484.01850555702,0.575490000017453
balloons,2,512,3,38501.47891377621,0.5846448999946006
balloons,2,512,4,38485.820317464015,0.5642030999879353
balloons,2,1024,0,38482.2771796754,0.7542065000161529
balloons,2,1024,1,38497.58747112163,0.7325981999747455
balloons,2,1024,2,38477.878335679874,0.7287917000066955
balloons,2,1024,3,38479.36377821394,0.8857653000159189
balloons,2,1024,4,38478.1574707669,0.8504573000245728
balloons,2,4096,0,38477.41249154258,3.134216400008881
balloons,2,4096,1,38476.839906108544,2.821992599987425
balloons,2,4096,2,38477.34309787914,2.925910899997689
balloons,2,4096,3,38478.60722456238,2.746638599986909
balloons,2,4096,4,38477.4971320405,2.796416400000453
balloons,4,64,0,21671.069869175662,0.4289542000042274
balloons,4,64,1,21837.812893050024,0.4115351000218652
balloons,4,64,2,21390.831859314247,0.4298246999969706
balloons,4,64,3,24272.197145923084,0.4384124000207521
balloons,4,64,4,22021.207362934845,0.4561113000090699
balloons,4,128,0,21307.82631156879,0.5231957999931183
balloons,4,128,1,22381.498004047666,0.516512000001967
balloons,4,128,2,23808.220365322617,0.4791067000187468
balloons,4,128,3,19947.484718422435,0.493402199994307
balloons,4,128,4,19611.480511228096,0.4848926000122446
balloons,4,256,0,19558.762730721683,0.5311666000052355
balloons,4,256,1,19340.543827203564,0.5319683999987319
balloons,4,256,2,20909.46596484956,0.565466700005345
balloons,4,256,3,21056.38580903919,0.5907479999877978
balloons,4,256,4,19496.65505283356,0.5939729000092484
balloons,4,512,0,19328.599281252034,0.6155028000066523
balloons,4,512,1,21937.84825427497,0.5885322999965865
balloons,4,512,2,19360.83221607568,0.5971847000182606
balloons,4,512,3,20937.35996202681,0.6403632999863476
balloons,4,512,4,20917.96356695626,0.5869507000024896
balloons,4,1024,0,19293.06440621236,0.739506000012625
balloons,4,1024,1,21926.264840981283,0.8574084999854676
balloons,4,1024,2,19301.19697443311,0.7324155999813229
balloons,4,1024,3,21914.41269348777,0.746041200007312
balloons,4,1024,4,19306.9467158778,0.728056000021752
balloons,4,4096,0,19285.122091408237,2.804361799993785
balloons,4,4096,1,19286.270946509525,2.8018488999805413
balloons,4,4096,2,19285.053627776982,2.8104323000006843
balloons,4,4096,3,19285.28132263152,2.8180415000242647
balloons,4,4096,4,19286.473360245214,2.8103690999851096
balloons,8,64,0,12256.002194387169,0.5773595999926329
balloons,8,64,1,11679.777514626516,0.584750800015172
balloons,8,64,2,13625.114769668851,0.5971191999851726
balloons,8,64,3,11423.820579321698,0.5934009000193328
balloons,8,64,4,12377.03049720563,0.6014298000081908
balloons,8,128,0,10084.424335767344,0.6857239000091795
balloons,8,128,1,11176.465092464898,0.6273569999902975
balloons,8,128,2,10597.111696259572,0.6278970999992453
balloons,8,128,3,9630.94674311629,0.6460664999904111
balloons,8,128,4,9890.24174591017,0.6191124999895692
balloons,8,256,0,9237.25477891805,0.6888513000158127
balloons,8,256,1,9807.660010069234,0.6922455000167247
balloons,8,256,2,9873.848149766767,0.680070300004445
balloons,8,256,3,10326.472116191191,0.7000865000009071
balloons,8,256,4,9960.33665863758,0.6869988999969792
balloons,8,512,0,9291.794772874222,0.7582814999914262
balloons,8,512,1,9174.03155373905,0.7450152999954298
balloons,8,512,2,9551.144516108518,0.7438585000054445
balloons,8,512,3,9374.57253516726,0.7968186000071
balloons,8,512,4,9759.727839030536,0.7684509000100661
balloons,8,1024,0,9139.93814494749,0.945380599994678
balloons,8,1024,1,9383.757046117846,0.9191558999882544
balloons,8,1024,2,9527.9731077607,0.9325517000106628
balloons,8,1024,3,9226.60493307214,0.9047884000174236
balloons,8,1024,4,9489.736279994251,0.902334399987012
balloons,8,4096,0,9218.904347552125,3.023420100013027
balloons,8,4096,1,9373.422451253393,2.966459899995243
balloons,8,4096,2,9063.484135144552,2.9484289000101853
balloons,8,4096,3,9373.991718587004,3.088299299997743
balloons,8,4096,4,9167.417094250814,2.918119799986016
balloons,16,64,0,5841.645103659519,0.9202101000119
balloons,16,64,1,6439.335707430977,0.866376299993135
balloons,16,64,2,6542.228110515269,0.8870262000127696
balloons,16,64,3,6227.2747855032085,0.906768800021382
balloons,16,64,4,6629.448245797794,0.8835055000090506
balloons,16,128,0,5882.449907157114,0.920410799997626
balloons,16,128,1,5300.245601616245,0.931730599986622
balloons,16,128,2,5839.534897577185,0.9603181000275072
balloons,16,128,3,5035.321131049345,0.9410637999826575
balloons,16,128,4,5978.715939830442,0.9494560999737588
balloons,16,256,0,5884.134993940343,1.0014740000187885
balloons,16,256,1,4816.580137074318,0.9999513999791816
balloons,16,256,2,4961.179575015843,0.9873204000177792
balloons,16,256,3,5266.920006645545,1.0692087000061292
balloons,16,256,4,4684.741985626377,1.0407108000072185
balloons,16,512,0,4696.456193107009,1.1074892999895385
balloons,16,512,1,5073.631914652544,1.113766399997985
balloons,16,512,2,5110.674069109743,1.082459800003562
balloons,16,512,3,4607.684017457754,1.1281665000133216
balloons,16,512,4,4776.605205077545,1.1257742999878246
balloons,16,1024,0,4910.337523011948,1.252735499991104
balloons,16,1024,1,4396.676168799882,1.3208960999909325
balloons,16,1024,2,4484.808217817662,1.225400700001046
balloons,16,1024,3,5035.05481634191,1.19296949999989
balloons,16,1024,4,4721.518743984854,1.2324485999997703
balloons,16,4096,0,4280.191526364243,3.2934413000184577
balloons,16,4096,1,4358.52778827801,3.3205827999918256
balloons,16,4096,2,4420.951555872517,3.4139876999834087
balloons,16,4096,3,4332.193591058969,3.3908795999886934
balloons,16,4096,4,4276.457562945976,3.346557100012433
balloons,32,64,0,3882.751741415597,1.63207799999509
balloons,32,64,1,3715.813374834147,1.5570287000155076
balloons,32,64,2,3512.4228973754475,1.5659920999896713
balloons,32,64,3,3798.131963332962,1.5073848000029102
balloons,32,64,4,4112.811217567417,1.5561031000106595
balloons,32,128,0,3008.2879220428968,1.601725099986652
balloons,32,128,1,3026.3065804069456,1.5887846999976318
balloons,32,128,2,3060.20578907428,1.5733242999995127
balloons,32,128,3,3124.0607468702747,1.5463136000034865
balloons,32,128,4,3359.308540424742,1.7198600000119768
balloons,32,256,0,2739.156607623492,1.7047983999946157
balloons,32,256,1,2569.45480345864,1.7457680999941658
balloons,32,256,2,2705.789443436444,1.7018849000160117
balloons,32,256,3,2910.6203452788204,1.662125799979549
balloons,32,256,4,2840.619961687124,1.729160499991849
balloons,32,512,0,2458.727293944953,1.7532032000017352
balloons,32,512,1,2472.2640840767376,1.7284852000011597
balloons,32,512,2,2609.8877024810786,1.692637800006196
balloons,32,512,3,2512.75654323374,1.7043066000042018
balloons,32,512,4,2486.0565752762177,1.6920855999924242
balloons,32,1024,0,2361.7020037072834,1.8718065999855755
balloons,32,1024,1,2258.643754559612,1.9139666999981275
balloons,32,1024,2,2394.599036840024,1.9267270999844184
balloons,32,1024,3,2337.733769841053,1.875494100007927
balloons,32,1024,4,2536.099205591952,1.876148200011812
balloons,32,4096,0,2279.946643224901,4.006060299987439
balloons,32,4096,1,2346.7477050558027,4.069318599998951
balloons,32,4096,2,2500.7139983941147,3.91565169999376
balloons,32,4096,3,2381.938280881216,3.915688900015084
balloons,32,4096,4,2420.2650712946256,4.173443600011524
balloons,64,64,0,2441.7271972318345,2.95665690000169
balloons,64,64,1,3105.975209534793,2.838927300006617
balloons,64,64,2,2879.0835063437144,2.9887730999907944
balloons,64,64,3,2750.086828143021,2.7758858999877702
balloons,64,64,4,2880.7923875432534,3.012684800021816
balloons,64,128,0,2022.434352051553,2.9217879000061657
balloons,64,128,1,1814.8870380913963,2.8580783999932464
balloons,64,128,2,1721.3821743368871,2.718054699973436
balloons,64,128,3,1843.1120633169817,2.7269304000074044
balloons,64,128,4,1812.476251614469,2.913430799992057
balloons,64,256,0,1573.612032785071,2.930571400007466
balloons,64,256,1,1472.680487272022,2.8924218000029214
balloons,64,256,2,1489.1474735777017,2.900489799998468
balloons,64,256,3,1599.9356067929066,3.3262434999924158
donuts,2,64,0,101742206.23286933,0.5469630999723449
donuts,2,64,1,99745001.1542523,0.5183895000081975
donuts,2,64,2,100269288.20012048,0.495166100008646
donuts,2,64,3,99554820.86032256,0.4761927999788895
donuts,2,64,4,99703405.54622604,0.5036525999894366
donuts,2,128,0,99349745.00368565,0.5802248999825679
donuts,2,128,1,99293460.38796583,0.6020662000228185
donuts,2,128,2,99353415.2238306,0.6522685999807436
donuts,2,128,3,99328279.0472901,0.6605394000071101
donuts,2,128,4,99535527.64292829,0.6006695999822114
donuts,2,256,0,99437429.43705478,0.6898997999960557
donuts,2,256,1,99313690.16441849,0.6810724000097252
donuts,2,256,2,99290845.30916694,0.6974384000059217
donuts,2,256,3,99326399.34168017,0.6856414999929257
donuts,2,256,4,99382769.02976531,0.7313889999932144
donuts,2,512,0,99286654.36743265,0.9380399999790825
donuts,2,512,1,99288185.27366371,0.8671201000106521
donuts,2,512,2,99278007.19477536,0.8134457000123803
donuts,2,512,3,99287288.49471849,0.8217817999830004
donuts,2,512,4,99434201.47844455,0.813989100017352
donuts,2,1024,0,99273768.84185097,1.1033625999989454
donuts,2,1024,1,99270023.81868893,1.0725823999964632
donuts,2,1024,2,99271974.06160548,1.08146499999566
donuts,2,1024,3,99276293.28559351,1.1138286000059452
donuts,2,1024,4,99275642.0726853,1.1345316999941133
donuts,2,4096,0,99270926.48383732,5.19853319998947
donuts,2,4096,1,99270262.88204241,5.289710700017167
donuts,2,4096,2,99269761.47519416,5.235051399999065
donuts,2,4096,3,99269746.21710569,5.106710700027179
donuts,2,4096,4,99271623.05955651,5.448480999999447
donuts,4,64,0,44842307.9536168,0.6191369000007398
donuts,4,64,1,49194676.668121986,0.6208027999964543
donuts,4,64,2,58351834.81197499,0.6047981999872718
donuts,4,64,3,48521605.49694651,0.6299106999940705
donuts,4,64,4,46318606.31622976,0.6307735000154935
donuts,4,128,0,44341946.25726561,0.7009222000197042
donuts,4,128,1,49030221.02480763,0.7179922000213992
donuts,4,128,2,44207718.34682902,0.811124200001359
donuts,4,128,3,47970251.31901569,0.7201414999726694
donuts,4,128,4,48589533.53434761,0.697496200009482
donuts,4,256,0,48956706.86455067,0.8187334000249393
donuts,4,256,1,43999037.371995814,0.9310605000064243
donuts,4,256,2,44324403.486136,0.8402141999977175
donuts,4,256,3,48599938.01933119,0.8453060000028927
donuts,4,256,4,44142270.19034221,0.7996821999840904
donuts,4,512,0,48972037.80712049,0.9080690999981016
donuts,4,512,1,43975059.05239095,0.9151407000026666
donuts,4,512,2,48494915.746654674,0.9198737999831792
donuts,4,512,3,44023723.81804067,0.9787670999940019
donuts,4,512,4,48928026.81055267,1.0045120000140741
donuts,4,1024,0,55812533.86676776,1.2096466000075452
donuts,4,1024,1,48435107.574510515,1.2040132000111043
donuts,4,1024,2,43948024.59099744,1.1869690000021365
donuts,4,1024,3,48958573.19782626,1.2315004999982193
donuts,4,1024,4,43953750.40159795,1.199447399994824
donuts,4,4096,0,43944910.36896573,5.359282599994913
donuts,4,4096,1,43944606.07765091,5.319877100002486
donuts,4,4096,2,55756978.217260376,5.4842020999931265
donuts,4,4096,3,48466371.28104006,5.416143099981127
donuts,4,4096,4,48942968.122852184,5.477312800008804
donuts,8,64,0,18446580.961441755,0.8860204000084195
donuts,8,64,1,21778383.942626644,0.9568450000078883
donuts,8,64,2,16838428.510137692,0.8447600000072271
donuts,8,64,3,19363107.656653013,0.7541272999951616
donuts,8,64,4,20077714.657875624,0.8976665000081994
donuts,8,128,0,18670313.09372496,0.9982560999924317
donuts,8,128,1,18873208.8528878,0.9357828000211157
donuts,8,128,2,16469786.160383953,0.9280698999937158
donuts,8,128,3,16068718.602945749,0.9467214999895077
donuts,8,128,4,16847722.145475876,0.916717600019183
donuts,8,256,0,18240674.220400393,0.9277824000164401
donuts,8,256,1,18437542.974873133,0.9582669000083115
donuts,8,256,2,18746512.63148893,0.9859449999930803
donuts,8,256,3,16220336.88441406,1.03907200001413
donuts,8,256,4,16111636.709349323,0.99940869997954
donuts,8,512,0,18132238.950714216,1.1235956999880727
donuts,8,512,1,18280622.356818393,1.0511438999965321
donuts,8,512,2,15938174.57230607,1.0654406000103336
donuts,8,512,3,15941419.760084767,1.1516247000254225
donuts,8,512,4,18111350.58190455,1.0970654000120703
donuts,8,1024,0,15928851.15813492,1.4710849999974016
donuts,8,1024,1,18327254.151138965,1.3865951000188943
donuts,8,1024,2,15915832.116231225,1.3820085000188556
donuts,8,1024,3,15933648.54066232,1.3800333999970462
donuts,8,1024,4,15897480.772956617,1.4477632000052836
donuts,8,4096,0,15906939.181008123,5.656749799993122
donuts,8,4096,1,18317167.449970275,5.556448799994541
donuts,8,4096,2,16043543.987132795,5.7047106999962125
donuts,8,4096,3,15896967.9606843,6.5649150000244845
donuts,8,4096,4,15919098.863137249,6.779356099985307
donuts,16,64,0,10108794.06376122,2.4706046999781393
donuts,16,64,1,8832995.670043034,2.715558500000043
donuts,16,64,2,9235206.952791728,2.7138519999862183
donuts,16,64,3,9798726.373097498,2.765790700010257
donuts,16,64,4,9724880.009282352,2.814919299999019
donuts,16,128,0,8023052.008386014,2.8158774000185076
donuts,16,128,1,8227601.309698053,2.906546600017464
donuts,16,128,2,8159592.3645375315,3.003074199979892
donuts,16,128,3,8113652.564450275,2.7801437999878544
donuts,16,128,4,7944832.937907621,2.8062569000176154
donuts,16,256,0,7804634.941940403,3.2296470000001136
donuts,16,256,1,7585177.697089366,3.185196399979759
donuts,16,256,2,7832179.208289933,3.298048699973151
donuts,16,256,3,7640471.046315909,3.2613001999852713
donuts,16,256,4,8167738.0666884165,3.161645000014687
donuts,16,512,0,7207066.8951289235,3.440010100021027
donuts,16,512,1,7378791.579499865,3.4838122999935877
donuts,16,512,2,7645053.447620448,3.447335300006671
donuts,16,512,3,7245555.465526007,3.647797299985541
donuts,16,512,4,7267557.7640084615,3.4594898000068497
donuts,16,1024,0,7271028.6855448615,4.222554200008744
donuts,16,1024,1,7104939.499633898,4.326179399999091
donuts,16,1024,2,7326090.10406768,4.543034300004365
donuts,16,1024,3,7105410.492553731,4.317430000024615
donuts,16,1024,4,7700588.754541602,4.391461099992739
donuts,16,4096,0,7030992.283282632,21.131492600019556
donuts,16,4096,1,7014832.023310373,21.341893699980574
donuts,16,4096,2,7020051.226607221,21.707344399997965
donuts,16,4096,3,7465991.089793377,21.747081800014712
donuts,16,4096,4,7513046.485686317,21.271498799993424
donuts,32,64,0,6283350.943188139,4.682876600010786
donuts,32,64,1,5315192.820894177,4.565962900000159
donuts,32,64,2,5175877.697054959,4.610028900002362
donuts,32,64,3,6092016.795030967,4.236540299985791
donuts,32,64,4,5408175.478552987,4.7491575999883935
donuts,32,128,0,4940766.166199406,4.932733099994948
donuts,32,128,1,4596363.929132739,4.784978300012881
donuts,32,128,2,4758048.025468697,4.09138540001004
donuts,32,128,3,4495228.546629712,2.0840828999935184
donuts,32,128,4,4537819.613610168,2.1340791000111494
donuts,32,256,0,4330460.717975278,2.2262540999799967
donuts,32,256,1,4560419.608838623,2.2281641000008676
donuts,32,256,2,4566491.415310947,2.1859421000117436
donuts,32,256,3,4410781.5417768,2.223758000007365
donuts,32,256,4,4172628.5554023352,2.2163444999896456
donuts,32,512,0,4052508.5124804988,2.3259487000177614
donuts,32,512,1,4230588.010149425,2.3262940000277013
donuts,32,512,2,4270719.803694495,2.309224800002994
donuts,32,512,3,3968072.673378085,2.3308287000108976
donuts,32,512,4,4166135.659653861,2.30620039999485
donuts,32,1024,0,3990873.8036712776,2.579018799995538
donuts,32,1024,1,3877210.9140198887,2.588886100013042
donuts,32,1024,2,3817713.725780721,2.591076200013049
donuts,32,1024,3,4027457.357152423,2.6030761000001803
donuts,32,1024,4,4074255.0443052053,2.75041009997949
donuts,32,4096,0,4007777.993508484,6.811853899998823
donuts,32,4096,1,3807973.0337161995,22.86699989999761
donuts,32,4096,2,3965161.0989070386,22.994254399993224
donuts,32,4096,3,3972285.4940279517,21.95117919999757
donuts,32,4096,4,3985432.847443624,22.948618000024
donuts,64,64,0,3971493.932304623,8.61639519999153
donuts,64,64,1,4214753.0989540275,8.337616200005868
donuts,64,64,2,4358411.511196513,7.985348899994278
donuts,64,64,3,4321890.257883204,8.0284718000039
donuts,64,64,4,4881603.427859962,3.908600499999011
donuts,64,128,0,2556780.039629206,3.8766675999795552
donuts,64,128,1,2846431.3871617685,3.7387496999872383
donuts,64,128,2,2717850.9362514513,4.4896643999964
donuts,64,128,3,2877760.2531836843,3.9018009999999776
donuts,64,128,4,2595301.409872627,3.9128235999960452
donuts,64,256,0,2415612.134767367,4.380642200005241
donuts,64,256,1,2552417.7635361413,4.314500300009968
donuts,64,256,2,2427604.82546019,4.041141900001094
donuts,64,256,3,2436057.9252760774,4.098251999996137
donuts,64,256,4,2376810.4069462214,4.261182399990503
donuts,64,512,0,2365627.4470258127,4.320152300002519
donuts,64,512,1,2254684.907220292,4.093823700008215
donuts,64,512,2,2316630.426528632,4.274165000009816
donuts,64,512,3,2322980.085812247,4.077548500004923
donuts,64,512,4,2320248.689103373,4.1633927000220865
donuts,64,1024,0,2144380.739736342,4.271632799995132
donuts,64,1024,1,2170805.368330927,4.397921399999177
donuts,64,1024,2,2103340.2354038814,4.355221000005258
donuts,64,1024,3,2171642.150917853,4.359091599995736
donuts,64,1024,4,2137253.870512425,4.354357800009893
donuts,64,4096,0,2068756.0378743557,8.480888499994762
donuts,64,4096,1,2074877.0031149324,8.392235300008906
donuts,64,4096,2,2143171.9511349835,8.610158099996625
