r,g,b,r_255,g_255,b_255,weight,source_index
0.5686274509803921,0.48627450980392156,0.5098039215686274,145.0,124.0,130.0,812.0038719361874,970019
0.3411764705882353,0.24705882352941178,0.2784313725490196,87.0,63.0,71.0,787.0037527263294,947898
0.7215686274509804,0.7725490196078432,0.6941176470588235,184.0,197.0,177.0,630.0030040884212,553705
0.7529411764705882,0.7372549019607844,0.7568627450980392,192.0,188.0,193.0,1104.0052643073286,917877
0.5333333333333333,0.5058823529411764,0.24705882352941178,136.0,129.0,63.0,18.00008583109775,767751
0.7803921568627451,0.5294117647058824,0.24705882352941178,199.0,135.0,63.0,39.00018596737846,838299
0.7843137254901961,0.6352941176470588,0.4745098039215686,200.0,162.0,121.0,355.0016927799834,827996
0.5176470588235295,0.24313725490196078,0.03137254901960784,132.0,62.0,8.0,81.00038623993987,802583
0.7490196078431373,0.49019607843137253,0.23529411764705882,191.0,125.0,60.0,7.000033378760236,819865
0.09411764705882353,0.17254901960784313,0.12156862745098039,24.0,44.0,31.0,138.00065803841608,71356
0.0784313725490196,0.08627450980392157,0.12549019607843137,20.0,22.0,32.0,4029.019211860713,369132
0.1411764705882353,0.11372549019607843,0.1568627450980392,36.0,29.0,40.0,798.0038051786669,832788
0.24313725490196078,0.3764705882352941,0.11764705882352941,62.0,96.0,30.0,4.000019073577278,452606
0.12156862745098039,0.25098039215686274,0.15294117647058825,31.0,64.0,39.0,17.00008106270343,21317
0.24705882352941178,0.3764705882352941,0.2196078431372549,63.0,96.0,56.0,126.00060081768424,14817
0.25098039215686274,0.37254901960784315,0.11764705882352941,64.0,95.0,30.0,1443.006880793003,457725
0.4549019607843137,0.2627450980392157,0.11764705882352941,116.0,67.0,30.0,44.00020980935005,830270
0.2549019607843137,0.3764705882352941,0.11372549019607843,65.0,96.0,29.0,343.00163555925155,492536
0.396078431372549,0.3803921568627451,0.12156862745098039,101.0,97.0,31.0,4.000019073577278,898985
0.43137254901960786,0.3568627450980392,0.40784313725490196,110.0,91.0,104.0,1348.0064277955425,943850
0.6,0.6588235294117647,0.5764705882352941,153.0,168.0,147.0,1572.00749591587,557120
0.6470588235294118,0.615686274509804,0.6509803921568628,165.0,157.0,166.0,1618.0077152620088,790575
0.6352941176470588,0.5294117647058824,0.37254901960784315,162.0,135.0,95.0,472.00225068211876,777845
0.611764705882353,0.6274509803921569,0.3686274509803922,156.0,160.0,94.0,1.0000047683943194,907195
0.6745098039215687,0.6352941176470588,0.36470588235294116,172.0,162.0,93.0,8.000038147154555,783125
