r,g,b
199.0,83.0,6.0
23.0,20.0,13.0
99.0,132.0,85.0
248.0,166.0,2.0
200.0,171.0,113.0
87.0,50.0,23.0
149.0,33.0,8.0
205.0,91.0,54.0
