r,g,b
95.0,43.0,19.0
114.0,25.0,7.0
55.0,75.0,38.0
181.0,92.0,78.0
185.0,71.0,45.0
229.0,28.0,0.0
217.0,115.0,49.0
77.0,59.0,45.0
88.0,60.0,12.0
201.0,122.0,65.0
166.0,114.0,41.0
222.0,147.0,0.0
242.0,174.0,75.0
110.0,54.0,7.0
153.0,87.0,37.0
188.0,196.0,173.0
100.0,64.0,14.0
41.0,0.0,0.0
97.0,128.0,84.0
215.0,46.0,13.0
18.0,19.0,3.0
92.0,119.0,76.0
188.0,81.0,0.0
217.0,159.0,0.0
210.0,194.0,169.0
110.0,39.0,19.0
49.0,58.0,3.0
235.0,215.0,68.0
190.0,24.0,0.0
161.0,140.0,73.0
121.0,46.0,4.0
88.0,113.0,47.0
255.0,207.0,107.0
6.0,6.0,14.0
65.0,2.0,47.0
55.0,86.0,18.0
255.0,198.0,75.0
188.0,91.0,58.0
33.0,24.0,17.0
31.0,31.0,5.0
240.0,180.0,84.0
85.0,81.0,70.0
254.0,197.0,54.0
141.0,35.0,37.0
98.0,64.0,37.0
137.0,67.0,0.0
164.0,17.0,0.0
62.0,59.0,28.0
168.0,70.0,0.0
131.0,0.0,0.0
39.0,31.0,12.0
38.0,42.0,28.0
144.0,102.0,44.0
164.0,30.0,21.0
110.0,109.0,88.0
132.0,169.0,102.0
142.0,139.0,124.0
16.0,25.0,32.0
175.0,84.0,40.0
81.0,110.0,64.0
235.0,156.0,90.0
173.0,32.0,5.0
192.0,37.0,41.0
178.0,148.0,86.0
113.0,133.0,64.0
202.0,3.0,24.0
152.0,157.0,151.0
108.0,21.0,12.0
93.0,34.0,2.0
83.0,65.0,51.0
126.0,80.0,28.0
48.0,64.0,15.0
123.0,61.0,10.0
116.0,0.0,8.0
43.0,53.0,52.0
222.0,135.0,2.0
163.0,136.0,107.0
51.0,8.0,0.0
92.0,23.0,0.0
111.0,138.0,105.0
138.0,62.0,10.0
89.0,116.0,65.0
201.0,170.0,80.0
147.0,21.0,22.0
193.0,140.0,96.0
144.0,77.0,34.0
57.0,45.0,5.0
195.0,140.0,57.0
255.0,211.0,197.0
166.0,93.0,0.0
21.0,22.0,16.0
251.0,187.0,126.0
111.0,151.0,52.0
109.0,151.0,77.0
255.0,189.0,104.0
32.0,43.0,13.0
111.0,15.0,0.0
191.0,172.0,113.0
151.0,104.0,26.0
83.0,21.0,10.0
110.0,73.0,31.0
149.0,78.0,56.0
31.0,35.0,20.0
236.0,182.0,0.0
105.0,110.0,0.0
129.0,135.0,75.0
156.0,36.0,9.0
132.0,102.0,32.0
215.0,131.0,95.0
137.0,38.0,15.0
224.0,101.0,33.0
97.0,105.0,58.0
189.0,100.0,0.0
113.0,148.0,108.0
122.0,63.0,21.0
160.0,113.0,0.0
