r,g,b
83.0,44.0,5.0
27.0,31.0,14.0
227.0,197.0,47.0
177.0,68.0,9.0
230.0,207.0,165.0
96.0,118.0,69.0
108.0,129.0,86.0
191.0,121.0,0.0
190.0,51.0,28.0
153.0,10.0,4.0
12.0,13.0,8.0
136.0,19.0,10.0
45.0,49.0,22.0
212.0,103.0,72.0
109.0,89.0,38.0
208.0,162.0,110.0
20.0,25.0,3.0
80.0,81.0,41.0
157.0,16.0,33.0
211.0,49.0,2.0
210.0,189.0,108.0
215.0,79.0,3.0
50.0,60.0,36.0
144.0,89.0,0.0
242.0,202.0,151.0
87.0,12.0,7.0
192.0,152.0,64.0
89.0,45.0,72.0
152.0,164.0,114.0
108.0,2.0,4.0
158.0,41.0,34.0
237.0,123.0,0.0
251.0,199.0,175.0
105.0,38.0,0.0
66.0,28.0,17.0
197.0,73.0,3.0
183.0,51.0,12.0
239.0,176.0,167.0
108.0,70.0,47.0
112.0,79.0,8.0
243.0,133.0,72.0
56.0,13.0,7.0
192.0,14.0,4.0
71.0,84.0,92.0
39.0,35.0,32.0
85.0,90.0,58.0
162.0,114.0,74.0
133.0,88.0,57.0
223.0,177.0,66.0
216.0,181.0,1.0
127.0,50.0,0.0
37.0,19.0,0.0
250.0,153.0,14.0
193.0,126.0,45.0
217.0,130.0,120.0
187.0,99.0,59.0
49.0,71.0,50.0
128.0,131.0,104.0
58.0,65.0,32.0
214.0,136.0,38.0
186.0,122.0,51.0
199.0,149.0,2.0
63.0,75.0,53.0
116.0,146.0,94.0
144.0,114.0,54.0
246.0,146.0,32.0
208.0,118.0,4.0
184.0,124.0,26.0
167.0,50.0,17.0
217.0,96.0,49.0
224.0,201.0,125.0
85.0,101.0,75.0
92.0,108.0,98.0
211.0,194.0,124.0
156.0,95.0,14.0
127.0,117.0,64.0
124.0,5.0,0.0
170.0,58.0,54.0
240.0,161.0,60.0
128.0,67.0,39.0
136.0,0.0,6.0
2.0,2.0,0.0
166.0,70.0,48.0
145.0,113.0,100.0
98.0,125.0,94.0
212.0,201.0,145.0
17.0,20.0,11.0
181.0,108.0,16.0
207.0,169.0,32.0
177.0,85.0,60.0
255.0,165.0,146.0
197.0,0.0,0.0
255.0,162.0,2.0
166.0,8.0,22.0
121.0,14.0,8.0
187.0,134.0,80.0
89.0,30.0,12.0
39.0,0.0,25.0
114.0,28.0,27.0
15.0,17.0,4.0
188.0,120.0,101.0
250.0,133.0,100.0
160.0,86.0,149.0
205.0,78.0,46.0
70.0,39.0,54.0
250.0,199.0,30.0
180.0,78.0,12.0
201.0,87.0,14.0
241.0,168.0,115.0
91.0,70.0,27.0
50.0,30.0,3.0
49.0,66.0,32.0
218.0,98.0,1.0
230.0,164.0,142.0
115.0,41.0,30.0
44.0,25.0,10.0
145.0,61.0,27.0
189.0,53.0,1.0
172.0,67.0,37.0
73.0,8.0,6.0
218.0,1.0,9.0
72.0,76.0,49.0
178.0,113.0,0.0
228.0,72.0,34.0
105.0,9.0,13.0
101.0,61.0,2.0
190.0,25.0,19.0
17.0,9.0,0.0
199.0,90.0,0.0
255.0,175.0,37.0
51.0,50.0,30.0
67.0,91.0,59.0
219.0,139.0,68.0
22.0,7.0,0.0
161.0,186.0,144.0
163.0,49.0,0.0
179.0,182.0,129.0
154.0,68.0,0.0
191.0,39.0,0.0
227.0,220.0,174.0
