r,g,b,weight,source_index
123.0,124.0,129.0,215.0001241366011,168598
121.0,136.0,143.0,279.0001610888917,96638
158.0,198.0,101.0,28.00001616662712,193424
29.0,33.0,34.0,301.00017379124154,176763
125.0,24.0,32.0,105.0000606248517,282220
216.0,186.0,198.0,25.0000144344885,275352
188.0,195.0,201.0,68.00003926180872,104427
77.0,86.0,103.0,440.00025404699755,103589
111.0,68.0,98.0,180.0001039283172,232471
6.0,14.0,17.0,514.0002967730835,86817
15.0,20.0,16.0,257.00014838654175,240766
121.0,160.0,93.0,104.00006004747216,1278293
95.0,128.0,97.0,31.000017898765737,1615286
205.0,31.0,33.0,115.00006639864709,792764
234.0,28.0,38.0,90.0000519641586,801682
227.0,61.0,49.0,247.00014261274637,236893
63.0,96.0,15.0,9.00000519641586,279607
59.0,96.0,62.0,26.00001501186804,1400855
129.0,162.0,83.0,349.0002015054595,1016183
200.0,90.0,99.0,13.00000750593402,567947
254.0,90.0,99.0,14.00000808331356,255867
139.0,66.0,122.0,132.00007621409927,222654
174.0,90.0,103.0,9.00000519641586,251575
109.0,11.0,24.0,295.0001703269643,282227
122.0,13.0,18.0,1212.0006997840023,846085
110.0,22.0,18.0,1665.000961336934,475214
49.0,58.0,3.0,1602.000924962023,38043
144.0,10.0,17.0,1216.0007020935207,712693
201.0,137.0,187.0,27.000015589247578,222657
225.0,159.0,160.0,5.0000028868977,516512
211.0,166.0,160.0,337.00019457690496,976568
223.0,205.0,95.0,195.00011258901029,1218552
255.0,230.0,69.0,107.00006177961077,677989
255.0,247.0,122.0,354.00020439235715,679968
39.0,0.0,25.0,1798.0010381284128,209024
56.0,14.0,26.0,240.0001385710896,218942
54.0,27.0,16.0,1427.0008239206036,1640436
166.0,8.0,22.0,338.0001951542845,545502
191.0,5.0,19.0,255.00014723178268,741419
190.0,25.0,19.0,1038.0005993199625,797792
79.0,115.0,67.0,125.0000721724425,1691254
77.0,100.0,82.0,280.0001616662712,1359293
77.0,112.0,80.0,22.000012702349878,1655335
6.0,6.0,14.0,831.0004798023976,174495
9.0,4.0,8.0,1105.0006380043917,84985
7.0,11.0,10.0,326.00018822573,140180
182.0,39.0,25.0,1670.0009642238317,712549
67.0,7.0,17.0,119.00006870816526,267040
90.0,11.0,17.0,152.00008776169008,324911
66.0,28.0,17.0,1211.0006992066228,1329350
87.0,30.0,23.0,1185.0006841947547,1399517
37.0,35.0,49.0,295.0001703269643,151775
60.0,47.0,54.0,167.00009642238317,270146
43.0,53.0,52.0,258.00014896392133,173819
218.0,75.0,31.0,1093.0006310758372,1344281
210.0,80.0,22.0,1418.0008187241876,1002434
113.0,133.0,64.0,779.0004497786616,932891
109.0,151.0,77.0,346.00019977332084,1281268
127.0,150.0,72.0,372.00021478518886,921051
110.0,145.0,91.0,1272.000734426775,1191335
29.0,19.0,0.0,4462.002576267508,816295
20.0,25.0,3.0,6782.00391578804,1331817
31.0,31.0,5.0,4544.00262361263,8589
28.0,20.0,9.0,5524.003189444578,1579716
164.0,86.0,24.0,1436.0008291170193,608409
134.0,140.0,6.0,171.00009873190135,1485
156.0,161.0,19.0,14.00000808331356,6416
174.0,160.0,11.0,64.00003695229056,341891
130.0,184.0,60.0,24.00001385710896,192434
166.0,163.0,50.0,151.00008718431053,658784
114.0,109.0,67.0,1468.0008475931647,1363626
127.0,117.0,64.0,1485.0008574086169,1505295
112.0,107.0,85.0,825.0004763381205,151403
137.0,74.0,31.0,1790.0010335093766,850313
155.0,83.0,25.0,1312.0007575219565,899557
42.0,67.0,38.0,1058.0006108675532,1367133
47.0,83.0,37.0,1.00000057737954,978193
47.0,68.0,49.0,64.00003695229056,361620
47.0,84.0,50.0,1.00000057737954,1462693
145.0,159.0,160.0,195.00011258901029,98659
191.0,139.0,161.0,40.0000230951816,250291
153.0,167.0,170.0,165.0000952676241,97673
167.0,182.0,163.0,437.000252314859,921814
14.0,38.0,2.0,267.00015416033716,920047
20.0,50.0,0.0,422.00024365416584,160951
15.0,33.0,21.0,4.00000230951816,1539298
30.0,50.0,22.0,273.0001576246144,1558535
74.0,105.0,38.0,1586.0009157239504,923780
77.0,114.0,36.0,79.00004561298366,1597545
88.0,113.0,47.0,968.0005589033947,949870
74.0,112.0,51.0,110.00006351174939,1642053
107.0,86.0,5.0,533.0003077432948,319687
112.0,81.0,14.0,1486.0008579859964,869965
104.0,82.0,25.0,932.0005381177313,444175
194.0,99.0,19.0,1187.000685349514,690264
214.0,97.0,20.0,1244.0007182601478,1304783
207.0,113.0,23.0,987.000569873606,1044166
222.0,123.0,22.0,647.0003735645623,625579
175.0,84.0,40.0,1487.000858563376,778116
166.0,70.0,48.0,1593.0009197656073,587727
