r,g,b
87.0,44.0,1.0
28.0,31.0,10.0
158.0,46.0,0.0
255.0,218.0,185.0
224.0,117.0,61.0
63.0,79.0,52.0
0.0,0.0,0.0
173.0,65.0,39.0
232.0,205.0,134.0
108.0,0.0,4.0
113.0,137.0,105.0
38.0,1.0,0.0
176.0,62.0,0.0
122.0,63.0,29.0
123.0,93.0,59.0
206.0,170.0,110.0
110.0,156.0,84.0
205.0,97.0,0.0
93.0,129.0,68.0
236.0,175.0,0.0
183.0,103.0,66.0
117.0,63.0,3.0
48.0,27.0,10.0
49.0,71.0,25.0
201.0,141.0,69.0
137.0,72.0,6.0
231.0,184.0,78.0
202.0,115.0,87.0
140.0,42.0,5.0
244.0,194.0,169.0
253.0,188.0,60.0
182.0,123.0,169.0
108.0,21.0,12.0
77.0,13.0,0.0
92.0,29.0,20.0
53.0,50.0,19.0
198.0,79.0,0.0
72.0,64.0,41.0
192.0,117.0,94.0
226.0,144.0,130.0
148.0,9.0,2.0
89.0,106.0,72.0
17.0,21.0,6.0
212.0,38.0,3.0
106.0,100.0,76.0
182.0,42.0,15.0
255.0,192.0,104.0
138.0,72.0,38.0
154.0,112.0,30.0
224.0,129.0,49.0
124.0,53.0,11.0
75.0,87.0,51.0
192.0,66.0,28.0
200.0,143.0,30.0
226.0,178.0,104.0
252.0,172.0,83.0
90.0,84.0,62.0
212.0,201.0,147.0
63.0,25.0,2.0
128.0,113.0,70.0
248.0,121.0,28.0
175.0,35.0,48.0
228.0,77.0,6.0
187.0,108.0,52.0
185.0,114.0,22.0
249.0,106.0,90.0
124.0,36.0,22.0
193.0,158.0,0.0
215.0,122.0,3.0
107.0,88.0,56.0
37.0,38.0,20.0
172.0,7.0,14.0
237.0,207.0,119.0
93.0,41.0,2.0
103.0,107.0,10.0
182.0,188.0,162.0
158.0,105.0,0.0
229.0,219.0,150.0
230.0,175.0,134.0
50.0,50.0,38.0
226.0,151.0,68.0
153.0,132.0,75.0
69.0,80.0,86.0
138.0,158.0,130.0
104.0,112.0,89.0
126.0,10.0,10.0
176.0,129.0,15.0
210.0,110.0,50.0
189.0,26.0,0.0
146.0,51.0,5.0
107.0,61.0,37.0
195.0,0.0,1.0
221.0,141.0,88.0
149.0,165.0,138.0
255.0,161.0,145.0
201.0,128.0,113.0
199.0,76.0,60.0
36.0,35.0,49.0
82.0,76.0,40.0
232.0,10.0,33.0
142.0,43.0,22.0
246.0,176.0,42.0
96.0,108.0,84.0
158.0,73.0,42.0
245.0,155.0,121.0
183.0,58.0,14.0
194.0,69.0,15.0
251.0,194.0,0.0
158.0,114.0,65.0
208.0,12.0,0.0
11.0,14.0,7.0
24.0,26.0,21.0
203.0,55.0,0.0
200.0,189.0,135.0
197.0,79.0,39.0
6.0,7.0,0.0
229.0,109.0,0.0
95.0,9.0,0.0
196.0,107.0,67.0
236.0,147.0,1.0
151.0,24.0,33.0
116.0,38.0,2.0
89.0,67.0,20.0
113.0,79.0,5.0
55.0,62.0,46.0
62.0,19.0,46.0
67.0,28.0,21.0
138.0,5.0,6.0
