x0,x1,x2,weight,source_index
128.0,94.0,42.0,8041.0657164573095,348232
115.0,130.0,38.0,1677.0137055713105,235187
61.0,24.0,166.0,7861.06424537631,372741
66.0,28.0,186.0,4906.040095129904,292256
42.0,109.0,191.0,34196.279472699185,74731
83.0,124.0,191.0,36645.29948757345,472477
60.0,30.0,204.0,792.0064727563971,272350
73.0,30.0,195.0,8119.066353925742,427263
165.0,145.0,142.0,2077.016974640198,363081
207.0,145.0,152.0,296.0024191109767,293117
145.0,193.0,176.0,537.0043887249814,146163
238.0,253.0,173.0,13320.10885999395,77824
131.0,167.0,230.0,41408.338414011225,324815
193.0,171.0,240.0,5805.047442362228,288580
189.0,202.0,222.0,17043.13928685262,597937
55.0,131.0,189.0,32.00026152551099,187828
116.0,173.0,189.0,1609.0131498295996,105301
63.0,129.0,210.0,1170.0095620264956,176936
57.0,72.0,197.0,43.000351424905396,276688
48.0,121.0,206.0,141811.15896664732,271287
135.0,188.0,58.0,4459.036441945423,161469
215.0,145.0,51.0,1516.0123897710832,611393
142.0,198.0,61.0,2828.023112317034,182362
211.0,201.0,66.0,388.0031709968208,477465
137.0,190.0,96.0,868.0070938794856,151872
241.0,191.0,103.0,4838.039539388194,583846
190.0,238.0,111.0,4114.033622373507,117697
192.0,236.0,111.0,13647.111532457766,108275
223.0,222.0,212.0,976.0079765280852,527832
237.0,212.0,202.0,56.000457669644234,527827
203.0,243.0,219.0,119.00097254799401,82507
250.0,254.0,208.0,3870.0316282414856,31324
198.0,211.0,230.0,20214.165202396227,509808
224.0,200.0,251.0,1776.0145146658601,328426
218.0,235.0,249.0,14414.117800897358,132123
235.0,240.0,244.0,57054.46628364076,450894
88.0,66.0,215.0,386.00315465147634,269508
110.0,71.0,206.0,1353.0110576255117,363239
75.0,120.0,197.0,62060.507196037885,580151
105.0,106.0,200.0,954.0077967292965,319272
95.0,86.0,241.0,21.00017162611659,259628
121.0,76.0,235.0,1385.0113191510227,337994
74.0,128.0,230.0,13.000106244738841,364753
121.0,123.0,227.0,35.00028604352765,425402
154.0,39.0,150.0,741.0060559501139,499722
235.0,54.0,132.0,580.0047401498867,23812
139.0,104.0,187.0,4493.036719816278,320310
223.0,89.0,186.0,214.00174895185478,40901
147.0,125.0,205.0,9603.078482171315,347519
211.0,108.0,206.0,134.0010951380773,151597
86.0,131.0,201.0,28800.235372959894,69166
113.0,153.0,213.0,20897.17078433135,393861
125.0,161.0,223.0,1319.0107797546561,417581
95.0,150.0,233.0,230.00187971461025,341892
122.0,154.0,229.0,3802.031072499775,289883
116.0,162.0,227.0,2984.0243872539,145588
56.0,13.0,61.0,256.00209220408794,7078
111.0,18.0,18.0,2073.016941949509,526461
57.0,86.0,21.0,34.00027787085543,497111
113.0,125.0,39.0,2926.0239132389115,466660
0.0,13.0,125.0,5478.0447698984135,491250
112.0,26.0,95.0,724.0059170146862,158244
55.0,65.0,125.0,56.000457669644234,521159
114.0,116.0,130.0,1720.014056996216,520920
