point_index,coreset_index
0,73
1,262
2,345
3,320
4,133
5,186
6,167
7,320
8,495
9,387
10,100
11,109
12,94
13,138
14,55
15,260
16,298
17,201
18,74
19,61
20,51
21,51
22,74
23,61
24,505
25,79
26,175
27,77
28,60
29,78
30,99
31,180
32,102
33,61
34,248
35,503
36,384
37,113
38,502
39,46
40,76
41,107
42,74
43,74
44,359
45,200
46,249
47,315
48,46
49,222
50,50
51,507
52,195
53,500
54,186
55,73
56,218
57,68
58,213
59,140
60,64
61,187
62,124
63,73
64,72
65,98
66,345
67,91
68,313
69,250
70,200
71,134
72,322
73,200
74,503
75,76
76,47
77,504
78,122
79,405
80,139
81,305
82,47
83,44
84,175
85,28
86,53
87,507
88,95
89,103
90,121
91,97
92,95
93,95
94,265
95,69
96,188
97,299
98,111
99,109
100,265
101,143
102,336
103,98
104,318
105,500
106,143
107,61
108,223
109,200
110,107
111,233
112,250
113,70
114,100
115,194
116,121
117,66
118,53
119,63
120,100
121,53
122,113
123,100
124,493
125,98
126,299
127,494
128,70
129,188
130,477
131,215
132,51
133,46
134,230
135,144
136,230
137,493
138,114
139,215
140,52
141,315
142,322
143,47
144,476
145,47
146,46
147,156
148,76
149,77
150,154
151,260
152,350
153,26
154,50
155,503
156,186
157,189
158,67
159,215
160,108
161,63
162,66
163,304
164,282
165,63
166,316
167,157
168,51
169,76
170,78
171,157
172,213
173,493
174,304
175,94
176,489
177,195
178,144
179,255
180,183
181,447
182,232
183,47
184,46
185,73
186,47
187,336
188,128
189,121
190,139
191,223
192,477
193,48
194,108
195,344
196,184
197,77
198,92
199,195
200,188
201,248
202,336
203,62
204,56
205,143
206,43
207,385
208,176
209,113
210,223
211,476
212,137
213,48
214,187
215,47
216,502
217,51
218,52
219,96
220,301
221,61
222,213
223,47
224,506
225,203
226,175
227,102
228,49
229,98
230,493
231,293
232,297
233,249
234,232
235,216
236,156
237,492
238,143
239,322
240,298
241,75
242,107
243,144
244,299
245,216
246,100
247,292
248,138
249,77
250,143
251,79
252,299
253,423
254,56
255,195
256,112
257,478
258,218
259,187
260,122
261,139
262,73
263,218
264,178
265,62
266,92
267,202
268,130
269,212
270,70
271,290
272,91
273,134
274,479
275,74
276,506
277,232
278,109
279,213
280,252
281,418
282,180
283,154
284,100
285,55
286,298
287,155
288,59
289,249
290,61
291,65
292,178
293,254
294,223
295,174
296,167
297,185
298,426
299,494
300,102
301,248
302,233
303,305
304,189
305,99
306,47
307,79
308,477
309,74
310,80
311,133
312,354
313,212
314,146
315,229
316,51
317,176
318,78
319,76
320,495
321,255
322,361
323,137
324,50
325,232
326,351
327,140
328,132
329,501
330,91
331,127
332,229
333,139
334,102
335,133
336,90
337,392
338,43
339,34
340,99
341,55
342,391
343,378
344,154
345,68
346,56
347,63
348,143
349,97
350,180
351,232
352,314
353,262
354,144
355,72
356,98
357,477
358,51
359,222
360,101
361,232
362,302
363,336
364,139
365,132
366,376
367,51
368,113
369,344
370,66
371,98
372,384
373,187
374,91
375,46
376,288
377,74
378,63
379,122
380,127
381,73
382,64
383,287
384,185
385,177
386,133
387,502
388,194
389,111
390,107
391,493
392,157
393,154
394,69
395,196
396,30
397,137
398,91
399,134
400,15
401,218
402,311
403,322
404,111
405,110
406,143
407,52
408,52
409,101
410,66
411,378
412,54
413,71
414,128
415,299
416,54
417,507
418,77
419,127
420,56
421,303
422,80
423,504
424,230
425,298
426,232
427,506
428,146
429,68
430,133
431,230
432,298
433,95
434,95
435,132
436,50
437,91
438,234
439,302
440,305
441,215
442,78
443,391
444,97
445,134
446,101
447,215
448,53
449,234
450,47
451,134
452,479
453,350
454,503
455,169
456,185
457,101
458,174
459,305
460,386
461,288
462,186
463,183
464,89
465,305
466,175
467,60
468,180
469,73
470,202
471,349
472,51
473,306
474,45
475,129
476,359
477,491
478,46
479,177
480,299
481,59
482,134
483,216
484,102
485,195
486,409
487,222
488,289
489,501
490,407
491,291
492,336
493,350
494,47
495,212
496,45
497,51
498,494
499,97
500,264
501,101
502,320
503,194
504,319
505,297
506,144
507,229
508,229
509,54
510,185
511,133
512,51
513,193
514,166
515,96
516,194
517,59
518,94
519,195
520,212
521,232
522,386
523,217
524,336
525,114
526,296
527,156
528,101
529,194
530,348
531,139
532,299
533,297
534,479
535,350
536,288
537,293
538,54
539,291
540,66
541,140
542,203
543,320
544,68
545,311
546,113
547,501
548,230
549,47
550,502
551,71
552,195
553,320
554,112
555,108
556,76
557,504
558,52
559,52
560,249
561,280
562,109
563,96
564,223
565,154
566,63
567,63
568,353
569,52
570,194
571,76
572,70
573,99
574,127
575,212
576,113
577,203
578,491
579,305
580,166
581,168
582,355
583,368
584,48
585,44
586,69
587,53
588,216
589,213
590,48
591,108
592,61
593,97
594,7
595,107
596,91
597,54
598,304
599,177
600,228
601,134
602,52
603,55
604,423
605,194
606,501
607,201
608,292
609,91
610,185
611,60
612,75
613,139
614,53
615,146
616,183
617,94
618,74
619,180
620,146
621,101
622,72
623,80
624,479
625,264
626,374
627,356
628,200
629,154
630,303
631,76
632,59
633,99
634,382
635,121
636,69
637,74
638,61
639,505
640,186
641,47
642,98
643,506
644,70
645,96
646,107
647,384
648,479
649,103
650,144
651,233
652,249
653,154
654,495
655,202
656,95
657,145
658,263
659,217
660,44
661,501
662,203
663,99
664,176
665,264
666,79
667,70
668,122
669,107
670,144
671,107
672,43
673,74
674,91
675,80
676,108
677,146
678,405
679,181
680,166
681,112
682,47
683,138
684,260
685,145
686,179
687,47
688,194
689,109
690,72
691,232
692,90
693,223
694,46
695,377
696,213
697,299
698,216
699,282
700,384
701,311
702,102
703,61
704,72
705,143
706,320
707,319
708,229
709,353
710,212
711,359
712,200
713,68
714,316
715,296
716,91
717,252
718,234
719,213
720,303
721,109
722,72
723,344
724,359
725,157
726,128
727,314
728,111
729,196
730,265
731,103
732,212
733,215
734,229
735,299
736,507
737,96
738,306
739,263
740,27
741,92
742,121
743,175
744,361
745,188
746,129
747,249
748,502
749,218
750,195
751,500
752,155
753,187
754,263
755,79
756,507
757,130
758,51
759,79
760,351
761,233
762,253
763,195
764,264
765,76
766,77
767,92
768,134
769,216
770,74
771,144
772,113
773,351
774,123
775,51
